,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
Có bất kỳ loại thuế nào áp dụng cho tài khoản này không?,Zakat và các loại thuế được áp dụng theo quy định của pháp luật.
Thời hạn tài trợ tối thiểu và tối đa là bao lâu?,Tối thiểu 01 năm. Tối đa 04 năm (lên đến 7 năm đối với Khoản vay Giáo dục) hoặc theo Quy định Hiện hành của SBP (Ngân hàng Nhà nước Pakistan).
Hình thức trả nợ là gì?,"Khoản thanh toán trả góp hàng tháng (EMI) bao gồm tiền gốc, phí đánh dấu và phí bảo hiểm sẽ được thực hiện thông qua Ủy quyền Ghi nợ Trực tiếp (DDA) từ tài khoản của người vay được duy trì tại NUST."
Tiêu chí thu nhập tối thiểu hàng tháng là gì?,"Cơ quan Chính phủ / Bán Chính phủ / Tự trị, v.v.: Thường trú, 35.000 Rs/- Hợp đồng, 45.000 Rs/-; Công ty được phê duyệt: Thường trú, 40.000 Rs/- Hợp đồng, 60.000 Rs/-; Không được phê duyệt (Tài khoản lương với NUST): 70.000 Rs/- Hợp đồng, 80.000 Rs/-."
Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan là gì?,"Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan là một tài khoản chuyên biệt được thiết kế để hỗ trợ việc tiếp nhận và chuyển tiền kỹ thuật số một cách dễ dàng, cung cấp các giao dịch liền mạch và truy cập đơn giản."
Có độ tuổi tối thiểu nào để được hỗ trợ tài chính theo Chương trình Tài chính Xay xát Bột mì NUST không?,"Tuổi của người vay (trong trường hợp doanh nghiệp tư nhân) phải tối thiểu 20 tuổi, tuy nhiên không được vượt quá 65 tuổi tại thời điểm nộp đơn. Độ tuổi này có thể được nới lỏng trong trường hợp có kế hoạch kế thừa hiệu quả cho hoạt động kinh doanh. Tiêu chí này không áp dụng nếu doanh nghiệp là công ty hợp danh hoặc công ty trách nhiệm hữu hạn."
Có hạn ngạch nào dành cho phụ nữ không?,25% khoản vay sẽ dành cho người vay là nữ giới.
Có yêu cầu nào về doanh số tài khoản cho Tài chính Nhà máy Bột mì NUST không?,Tối thiểu 50% doanh số của người nộp đơn phải được chứng minh thông qua doanh số tài khoản tại ngân hàng.
Yêu cầu bảo đảm để được hưởng PMYB & ALS là gì?,"Cấp 2: i. Tín nhiệm; bảo lãnh cá nhân của bên vay. ii. 02 Séc lùi ngày cho số tiền trả góp. iii. 01 Séc lùi ngày cho toàn bộ số tiền vay cộng với phần lãi theo lịch trình khấu hao. Cấp 3: i. Thế chấp tài sản nhà ở/thương mại/công nghiệp do bên vay hoặc bên thứ ba sở hữu. ii. Hợp đồng cầm cố phương tiện đứng tên bên vay hoặc thành viên gia đình ruột thịt. iii. Tài sản bảo đảm thanh khoản (lien trên tiền gửi, chứng chỉ tiết kiệm, TDR, v.v.)."
Làm thế nào tôi có thể đăng ký vay?,Bạn có thể đăng ký bằng cách đến bất kỳ Chi nhánh nào của chúng tôi hoặc gọi cho chúng tôi tại Trung tâm Liên hệ 24 giờ theo số 111-000-787. Nhân viên tận tâm của chúng tôi sẽ giúp bạn hoàn thành đơn đăng ký vay và các thủ tục khác.
Có thể gửi kiều hối từ bất kỳ đâu đến Pakistan không?,"Có, kiều hối có thể được gửi từ khắp nơi trên thế giới đến Pakistan thông qua các đối tác đại lý của chúng tôi như Western Union, Mastercard, Dandelion Payments (RIA), v.v. Để biết thêm thông tin, vui lòng truy cập liên kết sau: https://NUSTbank.com/services-home-remittance-our-partners/"
Yêu cầu số tiền gửi tối thiểu để mở Tài khoản Tiết kiệm NUST Waqaar & Tiền gửi Có kỳ hạn NUST Waqaar là gì?,• Số tiền gửi tối thiểu để mở Tài khoản Tiết kiệm NUST Waqaar là 1.000 Rs. • Số tiền gửi tối thiểu để mở Tài khoản Tiền gửi Có kỳ hạn NUST Waqaar là 25.000 Rs. Lưu ý: Khách hàng phải là chủ tài khoản của NUST để đặt tiền vào Tiền gửi Có kỳ hạn NUST Waqaar.
Ngân hàng NUST có cung cấp dịch vụ tài trợ thời vụ cho các nhà máy xay xát gạo không?,"Tài trợ Gạo NUST được thiết kế để đáp ứng nhu cầu tài trợ thời vụ cho việc thu mua lúa và các chi phí quản lý khác của nhà máy xay xát gạo, dựa trên hiệu quả hoạt động trong quá khứ và năng lực xay xát nhằm thỏa mãn nhu cầu tài chính thời vụ của họ. Phạm vi của sản phẩm này nhắm vào các 'Nhà máy Xay xát Gạo' thuộc danh mục Doanh nghiệp Vừa và Nhỏ (SME)."
NUST Sahar Accounts là gì?,NUST Sahar Accounts là các tài khoản được thiết kế đặc biệt để cung cấp các lợi ích và dịch vụ cho khách hàng đang tìm kiếm các giải pháp ngân hàng linh hoạt dưới hình thức tài khoản tiết kiệm và tài khoản vãng lai.
Hạn mức cho vay của Chương trình Tài chính Xay xát Bột mì NUST là gì?,Mỗi bên (một thực thể duy nhất) có thể vay tối đa 75 triệu Rs cho Doanh nghiệp vừa (ME) và 25 triệu Rs cho Doanh nghiệp nhỏ (SE).
Tôi có thể sử dụng dịch vụ vay mua ô tô nếu không phải là người hưởng lương/doanh nhân/chuyên gia không?,"Có. Cá nhân có kiều hối, được hỗ trợ bởi sao kê ngân hàng và biên lai chuyển tiền có thể sử dụng dịch vụ vay mua ô tô."
Hạn mức cho vay của Chương trình Tài chính Xay xát Bột mì NUST là gì?,Mỗi bên (một thực thể duy nhất) có thể vay tối đa 75 triệu Rs cho Doanh nghiệp vừa (ME) và 25 triệu Rs cho Doanh nghiệp nhỏ (SE).
Ngân hàng của bạn có cung cấp tài khoản Tiền gửi Thanh toán không?,Tài khoản Tiền gửi Thanh toán được thiết kế đặc biệt cho những khách hàng có nhu cầu giao dịch ngân hàng thường xuyên và không cần hưởng Lợi nhuận.
Phí xử lý cho NUST Mortgage Finance là bao nhiêu?,Phí xử lý sẽ theo Biểu phí hiện hành của Ngân hàng (SOC).
Khoản vay có thể được cấp dưới danh nghĩa Tài chính NUST Ujala là bao nhiêu?,i. Doanh nghiệp nhỏ – lên đến 15 triệu Rupees ii. Doanh nghiệp vừa – lên đến 25 triệu Rupees iii. Người dùng trong nước – từ 0.5 triệu đến 3.0 triệu Rupees iv. Nhân viên NUST: lên đến 3.00 triệu Rupees v. Nhà cung cấp/Nhà bán: Từ 5 triệu đến 25 triệu Rupees – (Một nhà cung cấp duy nhất)
Số tiền tài trợ tối thiểu và tối đa là bao nhiêu?,"Số tiền tài trợ tối thiểu là Rs. 500,000. Hạn mức tài trợ tối đa sẽ lên tới Rs.100,000,000/- và phụ thuộc vào Tỷ lệ Gánh nặng Nợ (DBR) 50% theo Quy định Ưu tiên của Ngân hàng Nhà nước Pakistan (SBP PRs) về Tài chính Nhà ở."
Các Thông Tin Quan Trọng Khác về Kế hoạch Bảo hiểm Nhân thọ Jubilee,"- Chỉ có Kế hoạch Giáo dục và Hôn nhân là các kế hoạch Thời gian Giới hạn với Quyền lợi Tiếp tục (trong trường hợp tử vong, khoản thanh toán sẽ được thực hiện khi đáo hạn).
- Trong trường hợp tử vong, Giá trị Tiền mặt hoặc Số tiền Bảo đảm, tùy theo giá trị nào cao hơn, sẽ được thanh toán.
- Các chế độ Thanh toán Phí định kỳ Hàng năm / Nửa năm / Quý có sẵn theo sự thuận tiện của khách hàng.
- Sự tăng trưởng của hợp đồng phụ thuộc vào mức tăng trưởng tỷ giá thị trường của các đơn vị Quỹ tương hỗ liên kết (Nhiều lựa chọn quỹ có sẵn từ JLI).
- Các khiếu nại tử vong sẽ được Jubilee Life xử lý, với điều kiện hoàn tất các tài liệu yêu cầu và hợp đồng phải ở trạng thái Đang hoạt động, Đang duy trì hiệu lực, hoặc Đã phục hồi hiệu lực."
Phí bảo hiểm hàng tháng cho một chiếc xe trị giá 3 triệu Rupees là bao nhiêu?,"Với mức phí bảo hiểm hiện tại là 1,75% mỗi năm, phí hàng tháng sẽ là 4.375 Rupees. Mức phí bảo hiểm một khi đã được ấn định sẽ giữ nguyên trong suốt thời hạn tài trợ."
Cơ cấu pháp lý của doanh nghiệp nên như thế nào để được hưởng Tài chính NUST Imarat?,"Chủ sở hữu duy nhất, Công ty hợp danh (đã đăng ký), Công ty trách nhiệm hữu hạn tư nhân, Công ty trách nhiệm hữu hạn."
Các khoản phí dịch vụ/tài liệu/pháp lý tại NUST Imarat Finance là bao nhiêu?,Theo thực tế.
Các tính năng chính của Tài khoản Tiền gửi Hiện tại là gì?,"Được cung cấp bằng VNDĐ (PKR) & Ngoại tệ (USD, GBP, EUR, JPY & AED); Số tiền gửi tối thiểu để mở tài khoản là Rs.5,000 đối với VNDĐ, US $500 hoặc số tiền tương đương đối với Ngoại tệ; Không yêu cầu số dư tối thiểu hàng tháng; Thẻ Ghi nợ cho tài khoản PKR; Không giới hạn số tiền ghi có và ghi nợ hàng tháng"
Các khoản phí dịch vụ/tài liệu/pháp lý trong Ask Fauri Business Finance là gì?,Theo thực tế.
Thời hạn tối đa của Tài chính Nhà máy Bột mì NUST là bao lâu?,Tối đa 1 năm theo các hành lang dọn dẹp.
Bản chất của các khoản vay được cho phép trong PMYB & ALS?,• Khoản vay dài hạn / Khoản vay phát triển • Khoản vay vốn lưu động / Khoản vay sản xuất
Tài khoản Doanh nghiệp Value Plus (VP-BA) là gì?,Tài khoản Doanh nghiệp Value Plus (VP-BA) là một tài khoản doanh nghiệp cung cấp một loạt lợi ích và giải pháp được thiết kế riêng để các doanh nghiệp quản lý giao dịch tài chính của họ một cách hiệu quả.
Tài khoản NUST Waqaar là gì?,"Tài khoản NUST Waqaar là một loại tài khoản do Ngân hàng NUST cung cấp, được thiết kế riêng để mang lại các giải pháp ngân hàng đặc thù, cung cấp những tính năng phù hợp với nhu cầu của khách hàng về tiết kiệm và giao dịch."
Tiêu chí Đủ điều kiện cho thực thể kinh doanh trong Ask Fauri Business Finance là gì?,Tất cả trừ cá nhân.
Phí xử lý cho Đơn xin Tài chính NUST Imarat là bao nhiêu?,"30.000 Rs hoặc 0,2% số tiền vay, tùy theo mức nào cao hơn (Không hoàn lại)."
Ai có thể đăng ký Tài chính Cá nhân NUST?,"1. Sĩ quan Lực lượng Vũ trang: Nhân viên đang tại ngũ, nhân viên đã nghỉ hưu. 2. Hạ sĩ quan/Cấp bậc tương đương & Thấp hơn: Nhân viên đang tại ngũ, nhân viên đã nghỉ hưu. 3. Lực lượng Vũ trang Đồng minh (SPD & các đơn vị liên kết) và Dân sự (tại GHQ/NHQ & AHQ): Nhân viên đang làm việc (Nhân viên Biên chế & Hợp đồng). 4. Tập đoàn Fauji Foundation: Nhân viên biên chế, nhân viên hợp đồng. 5. Cá nhân hưởng lương: Nhân viên biên chế, nhân viên hợp đồng. 6. Cơ quan Chính phủ / Bán Chính phủ / Tự chủ: Nhân viên biên chế, nhân viên hợp đồng, nhân viên đã nghỉ hưu. 7. Nhân viên NUST (được quản lý theo Chính sách Nhân sự)."
Các khoản phí áp dụng cho Chương trình Tài chính Hunarmand của NUST là gì?,Áp dụng theo quy định của PMYB & ALS.
Thị trường mục tiêu của Tài khoản Doanh nghiệp Giá trị Cộng Thêm là gì?,"Doanh nghiệp vừa, Công ty hợp danh, Công ty TNHH và Công ty đại chúng, Tổ chức Doanh nghiệp & Thương mại, Tổ chức Phi chính phủ (NGOs) / Tổ chức Phi lợi nhuận (NPOs) / Quỹ tín thác / Tổ chức Từ thiện."
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Độ tuổi tối thiểu để đăng ký Thẻ tín dụng NUST Mastercard là bao nhiêu?,"Tối thiểu 21 tuổi và là cư dân Pakistan, có thể đăng ký Thẻ tín dụng NUST MasterCard."
Phí xử lý cho NUST Mortgage Finance là bao nhiêu?,Phí xử lý sẽ theo Biểu phí hiện hành của Ngân hàng (SOC).
Phí xử lý cho NUST Mortgage Finance là bao nhiêu?,Phí xử lý sẽ theo Biểu phí hiện hành của Ngân hàng (SOC).
Người Pakistan ở nước ngoài có thể nhận được khoản Tài chính Cá nhân từ NUST không?,"Không, việc có mặt của người nộp đơn và người sử dụng lao động của họ là bắt buộc trong lãnh thổ Pakistan để đăng ký khoản Tài chính Cá nhân không thế chấp."
Khoản vay có thể được phê duyệt trong bao nhiêu ngày tại Ask Fauri Business Finance?,Thời gian xử lý (TAT) để hoàn tất việc phê duyệt được ấn định là 03 ngày làm việc kể từ ngày hoàn tất hồ sơ tiền phê duyệt.
Tôi có thể mua bảo hiểm Bancassurance từ tài khoản của mình được duy trì tại Ngân hàng NUST không?,"Có, mọi khách hàng đủ 18 tuổi và có tài khoản tại Ngân hàng NUST đều đủ điều kiện mua bảo hiểm Bancassurance từ tài khoản của họ."
"Loại tài khoản của Tài khoản Little Champs là gì, tiết kiệm hay giao dịch?",Tài khoản này được cung cấp ở cả hai loại là giao dịch và tiết kiệm.
Các khoản phí dịch vụ/tài liệu/pháp lý trong Tài chính Nhà máy Bột mì NUST là gì?,Theo thực tế.
Tôi có thể mua hợp đồng Bancassurance từ tài khoản của mình được duy trì tại Ngân hàng NUST không?,"Có, mọi khách hàng đạt độ tuổi 18 và có tài khoản tại Ngân hàng NUST đều đủ điều kiện mua hợp đồng Bancassurance từ tài khoản của họ."
Tần suất trả nợ tại NUST Imarat Finance là gì?,Hàng tháng/Hàng quý.
Loại tài khoản của NAA là gì?,NAA có thể được mở cả trong Tài khoản Vãng lai và Tiết kiệm.
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Ngân hàng NUST có cung cấp tài khoản nào cho Người Pakistan không định cư (NRP) không?,"Có, Tài khoản Roshan Digital. Được thiết kế đặc biệt cho Cá nhân Người Pakistan không định cư (NRP) muốn thực hiện các hoạt động ngân hàng, thanh toán và đầu tư tại Pakistan."
Tài khoản Little Champs có những tính năng gia tăng giá trị nào khác?,"• Lợi tức hấp dẫn trên tài khoản tiết kiệm
• Dịch vụ cảnh báo SMS cho giao dịch kỹ thuật số
• Dịch vụ ngân hàng trực tuyến
• Kế hoạch bảo hiểm giáo dục miễn phí – 5.000 Rs mỗi tháng trong 5 năm đối với tài khoản tiết kiệm và 10.000 Rs mỗi tháng trong 5 năm đối với tài khoản vãng lai trong trường hợp người giám hộ qua đời."
Ngân hàng NUST có cung cấp tài khoản cho Người Pakistan không cư trú (NRP) không?,"Có, Tài khoản Roshan Digital. Được thiết kế đặc biệt cho Cá nhân Người Pakistan không cư trú (NRP) muốn thực hiện các hoạt động ngân hàng, thanh toán và đầu tư tại Pakistan."
Vui lòng cho tôi biết về việc thanh toán và tính toán lợi nhuận?,Tần suất Thanh toán Lợi nhuận: Hàng tháng. Tính toán Lợi nhuận: Số dư Trung bình Hàng tháng.
Tài khoản Roshan Digital có yêu cầu số dư tối thiểu không?,Không yêu cầu tiền gửi ban đầu. Không yêu cầu số dư tối thiểu.
Các Thông Tin Quan Trọng Khác về Kế hoạch Bảo hiểm Nhân thọ Jubilee,"- Chỉ có Kế hoạch Giáo dục và Hôn nhân là các kế hoạch Có thời hạn với Quyền lợi Tiếp tục (trong trường hợp tử vong, khoản thanh toán sẽ được thực hiện khi đáo hạn).
- Trong trường hợp tử vong, Giá trị Tiền mặt hoặc Số tiền Bảo đảm, tùy theo giá trị nào cao hơn, sẽ được chi trả.
- Các chế độ Thanh toán Phí bảo hiểm Hàng năm/Bán niên/Theo quý có sẵn tùy theo sự thuận tiện của khách hàng.
- Sự tăng trưởng của hợp đồng phụ thuộc vào mức tăng trưởng tỷ giá thị trường của các đơn vị Quỹ tương hỗ liên kết (Nhiều lựa chọn quỹ có sẵn từ JLI).
- Các khiếu nại tử vong sẽ được Jubilee Life xử lý, với điều kiện hoàn tất các tài liệu yêu cầu, và hợp đồng bảo hiểm phải ở trạng thái Đang hoạt động, Đang hiệu lực, hoặc Đã phục hồi hiệu lực."
Tỷ lệ lợi nhuận cho Tài khoản NUST Asaan là bao nhiêu?,Thanh toán lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0.19.
Ai có thể mở Tài khoản Chuyển tiền Pak Wattan?,Người nhận chuyển tiền kiều hối chính danh (PRI) có thể mở tài khoản này.
Hình thức trả nợ là gì?,"Khoản thanh toán trả góp hàng tháng (EMI) bao gồm gốc, lãi và phí bảo hiểm sẽ được thực hiện thông qua Ủy quyền Ghi nợ Trực tiếp (DDA) từ tài khoản của người vay được duy trì tại NUST."
Tài trợ không được phép ở đâu?,"Tài trợ sẽ không được phép cho: Bất động sản Thương mại, Xây dựng hoặc sở hữu đất trên khu vực lấn chiếm Đất Công/Đất của Chính phủ, Các bất động sản xây dựng trái với Quy định của Cơ quan Nhà ở."
Thời hạn tối đa của Tài chính Nhà máy Bột mì NUST là bao lâu?,Tối đa 1 năm theo các hành lang dọn dẹp.
Ngân hàng NUST có đang cung cấp hình thức tài trợ theo mùa nào không?,Sản phẩm tài chính theo mùa 'Tài trợ Nhà máy Bột mì NUST' đã được xây dựng để tài trợ nhanh chóng theo hình thức cho vay theo chương trình. Sản phẩm này được thiết kế dành riêng cho các nhà máy bột mì để đáp ứng nhu cầu vốn lưu động của họ. Tài trợ Nhà máy Bột mì NUST đáp ứng các nhu cầu tài chính theo mùa cho việc thu mua lúa mì và các chi phí quản lý khác của các nhà máy bột. Phạm vi của sản phẩm nhắm mục tiêu đến các nhà máy bột mì thuộc danh mục Doanh nghiệp vừa và nhỏ (SME).
Hệ thống chi trả lợi nhuận cho Tài khoản Tiết kiệm NUST Sahar là gì?,"Chi trả lợi nhuận hàng tháng, Tính lợi nhuận dựa trên Số dư trung bình hàng tháng."
Tôi sẽ nhận được cập nhật về Đơn đăng ký Thẻ Tín dụng như thế nào?,Bạn cũng có thể đến thăm trực tiếp/gọi điện hoặc gửi email đến (các) trung tâm Dịch vụ Khách hàng của chúng tôi. Địa chỉ email: CustomerServices@NUSTbank.com.pk.
Độ tuổi tối đa để đăng ký Thẻ tín dụng NUST Mastercard là bao nhiêu?,"Người hưởng lương (Thường xuyên): 60 tuổi, Người hưởng lương (Hợp đồng)/ Người về hưu/ Kinh doanh cá thể/ Chuyên nghiệp tự do: 65 tuổi."
Tài khoản Kỹ thuật số NUST Freelancer có giới hạn Tín dụng và Ghi nợ nào không?,"Các giới hạn Giao dịch sau được áp dụng:
Giới hạn Số dư Tín dụng tối đa: 5.000 USD hoặc giá trị tương đương
Giới hạn Ghi nợ Hàng tháng: 5.000 USD hoặc giá trị tương đương
Giới hạn Rút tiền Mặt: 500.000 PKR hoặc giá trị tương đương mỗi ngày"
Các tính năng chính của các Gói Bảo hiểm Nhân thọ Jubilee này là gì?,"- Thời gian Xem xét Miễn phí 14 ngày bắt đầu từ ngày khách hàng nhận được Tài liệu Chính sách.
- Hệ thống tăng trưởng Liên kết Đơn vị (JLI phân bổ các đơn vị quỹ tương hỗ cho khách hàng, sự tăng trưởng của chính sách phụ thuộc vào tốc độ tăng trưởng của đơn vị, giống như thị trường chứng khoán).
- Ngân hàng NUST chỉ đóng vai trò là Đại lý Bán hàng Doanh nghiệp, đây là một kế hoạch bảo hiểm không được coi là bất kỳ tài khoản hoặc tiền gửi có kỳ hạn nào với lợi nhuận hàng năm cố định.
- Trong trường hợp chấm dứt hợp đồng sớm, chỉ Giá trị Tiền mặt của chính sách sẽ được thanh toán cho khách hàng (tỷ lệ thị trường hiện tại của các đơn vị quỹ tương hỗ sẽ được hoàn trả).
- Việc hủy bỏ chính sách và tùy chọn hoàn tiền đầy đủ có sẵn nếu tài liệu chính sách được trả lại trong Thời gian Xem xét Miễn phí (14 ngày kể từ khi nhận được tài liệu).
- Giá trị Tiền mặt của chính sách có thể khác với lợi nhuận dự kiến được cung cấp trên tài liệu minh họa (tài liệu minh họa chỉ mang tính chất tham khảo)."
Ngân hàng của bạn có cung cấp tài khoản Lãi & Lỗ không?,"Có, Tài khoản Chia sẻ Lãi Lỗ được thiết kế đặc biệt để đáp ứng nhu cầu giao dịch và tiết kiệm của khách hàng."
Có hạn ngạch nào dành cho phụ nữ không?,25% khoản vay sẽ dành cho các bên vay là nữ giới.
EFU Life Bancassurance Policy là gì?,"EFU Life Bancassurance Policy là sản phẩm bảo hiểm được cung cấp thông qua Ngân hàng NUST hợp tác với Công ty Bảo hiểm Nhân thọ EFU, mang đến các giải pháp bảo hiểm nhân thọ đa dạng."
Có bất kỳ khoản phí phạt nào liên quan đến việc chấm dứt hợp đồng trước hạn/phạt trả trước hạn không?,"Phương thức Chấm dứt Trước hạn: Danh mục Chung: i. Trường hợp toàn bộ khoản vay còn lại được thanh toán trong vòng 3 năm kể từ lần giải ngân đầu tiên: Phí 3% trên tổng số dư nợ. ii. Trường hợp toàn bộ khoản vay còn lại được thanh toán sau 3 năm: Phí 2% trên tổng số dư nợ. Danh mục Lực lượng Vũ trang: i. Trường hợp toàn bộ khoản vay còn lại được thanh toán trong vòng 3 năm: Phí 2% trên tổng số dư nợ. ii. Trường hợp toàn bộ khoản vay còn lại được thanh toán sau 3 năm: Phí 1% trên tổng số dư nợ. Trả trước hạn: Cho phép trả trước hạn một lần mỗi năm lên đến 20% số dư nợ mà không bị phạt. Việc thanh toán vượt quá 20% sẽ bị tính phí 2% trên số tiền trả trước. Đối với Lực lượng Vũ trang: Cho phép trả trước hạn một lần mỗi năm lên đến 30% số dư nợ mà không bị phạt. Việc thanh toán vượt quá 30% sẽ bị tính phí 1% trên số tiền trả trước. Phí chấm dứt trước hạn sẽ không áp dụng trong trường hợp cải tạo, sửa chữa."
Các yêu cầu về số dư ban đầu/tối thiểu cho Tài khoản Chuyển tiền PakWatan là gì?,Không yêu cầu tiền gửi ban đầu. Không yêu cầu số dư tối thiểu.
Tài khoản tiền gửi không kỳ hạn (CDA) là gì?,"Tài khoản tiền gửi không kỳ hạn (CDA) là một loại tài khoản cung cấp cho doanh nghiệp và cá nhân một cách để quản lý các giao dịch hàng ngày, bao gồm gửi tiền, rút tiền và chuyển khoản, mà không có bất kỳ hạn chế nào về số lượng giao dịch."
Ngân hàng NUST có đang cung cấp Tài khoản Ngân hàng Kỹ thuật số đơn giản không?,"Có, Tài khoản Kỹ thuật số Asaan của NUST đang được cung cấp."
Tần suất trả nợ gốc trong Ask Fauri Business Finance là gì?,"AFBF-1: Khi đáo hạn, AFBF-2: Hàng tháng / Hàng quý, AFBF-3: Khi hết hạn / mua lại, AFBF-4: Khi nghỉ hưu."
Hạn mức cho vay của Tài chính NUST Sahar là gì?,Kinh doanh mới: Khoản vay tối đa 3.00 triệu Rupees. Kinh doanh hiện có: Khoản vay tối đa 5.00 triệu Rupees.
NUST đang cung cấp những tiện ích miễn phí nào trên Tài khoản Vãng lai NUST Sahar?,"Sổ Séc Đầu tiên, Phát hành Thẻ Ghi nợ Đầu tiên, Giảm giá 50% cho năm đầu tiên thuê Tủ khóa (tùy thuộc vào tình trạng có sẵn của tủ), Phát hành Séc của Ngân hàng, Rút/Gửi Tiền Mặt Liên Chi nhánh Trực tuyến (Online), Chuyển Khoản Nội bộ trong NUST qua chi nhánh (Chuyển khoản Trực tuyến), Cảnh báo SMS cho tất cả các Giao dịch Ngân hàng, Ngân hàng Di động và I-Net, Tiện ích Sao kê Điện tử và nhiều hơn nữa. Các Khoản phí/Phí Thường niên Tiếp theo sẽ được tính theo Biểu phí Hiện hành."
Tỷ lệ lợi nhuận cho Tài khoản NUST Asaan là bao nhiêu?,Chi trả lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0.19.
Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan là gì?,"Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan là một tài khoản chuyên biệt được thiết kế để hỗ trợ việc tiếp nhận và chuyển tiền kỹ thuật số một cách dễ dàng, cung cấp các giao dịch liền mạch và truy cập đơn giản."
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,Hạng 2: 10% (Kinh doanh mới). Hạng 3: 20% (Kinh doanh mới). Kinh doanh hiện tại: Không.
Các tính năng chính của Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) của NUST là gì?,"Được cung cấp bằng nội tệ (PKR) và ngoại tệ (USD, GBP, EUR, JPY & AED). Tiền gửi mở tài khoản là 100 Rs. cho nội tệ, 500 USD hoặc số tiền tương đương cho ngoại tệ. Phát hành thẻ ghi nợ đối với tài khoản nội tệ. Cách tính lợi nhuận: Theo số dư trung bình hàng tháng. Tần suất trả lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0,19% cho nội tệ, 0,1925% cho Tài khoản Hưu trí PLS."
Tài khoản Doanh nghiệp Cao cấp Value Premium (VPBA) là gì?,"Tài khoản Doanh nghiệp Cao cấp Value Premium (VPBA) là một tài khoản doanh nghiệp cấp cao, được thiết kế dành cho các doanh nghiệp đang tìm kiếm các dịch vụ và tính năng ngân hàng cao cấp để đáp ứng nhu cầu hoạt động của họ."
Phí xử lý hồ sơ là bao nhiêu?,Theo Biểu phí hiện hành (SOC) hoặc theo thỏa thuận với doanh nghiệp.
Phí xử lý cho Đơn xin Tài chính NUST Imarat là bao nhiêu?,"30.000 Rs hoặc 0,2% số tiền vay, tùy theo mức nào cao hơn (Không hoàn lại)."
Thời hạn vay tối đa là bao lâu?,• Đối với xe có dung tích xi-lanh lên đến 1000 CC: tối đa 5 năm. • Đối với xe có dung tích xi-lanh trên 1000 CC: tối đa 3 năm.
Các dịch vụ miễn phí được cung cấp trên Tài khoản Vãng lai NUST Sahar Asaan là gì?,"Gửi tiền mặt/Rút tiền mặt trực tuyến liên chi nhánh miễn phí (Trực tuyến), Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến), Phát hành Séc Ngân hàng miễn phí, Ngân hàng điện tử I-Net miễn phí, Bảng sao kê điện tử miễn phí, Cảnh báo SMS miễn phí cho các giao dịch kỹ thuật số."
Tài khoản này có được bảo hiểm không?,"• Bảo hiểm Rút tiền mặt tại ATM lên đến hạn mức rút tiền mặt hàng ngày của thẻ ghi nợ từ các máy ATM của Ngân hàng NUST. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới cho chủ thẻ ghi nợ. Lần lượt là 500.000 Rs và 700.000 Rs cho Thẻ ghi nợ Classic và Gold. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới. Số tiền bảo hiểm cho mỗi chủ tài khoản sẽ tương đương với bốn lần số dư trung bình hoàn thành trong sáu tháng qua – tối đa lên đến 2,5 triệu Rs."
Có phí trả chậm không?,Phí trả chậm 1.000 PKR cộng FED sẽ được tính sau ngày thứ 30 kể từ khi khoản trả góp quá hạn.
Tài khoản Little Champs là gì?,Tài khoản Little Champs là một sản phẩm được thiết kế đặc biệt cho trẻ vị thành niên (cá nhân dưới 18 tuổi). Trẻ em cần sự hỗ trợ của người giám hộ hợp pháp/cha mẹ để mở tài khoản này và sử dụng các tiện ích của nó.
Ngân hàng có cung cấp lựa chọn Tiền gửi có kỳ hạn với tài khoản này không?,"Có, tùy chọn đặt Tiền gửi có kỳ hạn NUST Sahar độc quyền từ Tài khoản vãng lai NUST Sahar với lãi suất hấp dẫn là có sẵn."
Tôi nhận được những lợi ích nào khác khi sử dụng VPBA?,Xử lý Tài trợ nhanh chóng. Giải pháp Xử lý Lương được Tùy chỉnh & Quản lý Tiền mặt (ACMS). Bảo hiểm Rút tiền mặt tại ATM.
