,instruction,input,output
2674,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Where financing is not allowed?,"The financing shall not be allowed for; Commercial Properties, Construction or possession of land on the encroached area of Public/ Government Land, Properties built against Housing Authority By-Laws."
2675,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I make balloon payments or premature termination of facility?,"Yes, Balloon payment or premature termination option is available for all customers. Charges will be applied as per prevailing Bank’s schedule of charges / As per corporate arrangement."
2676,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for NUST Bachat Account?,Profit Payment: Monthly. Profit Rate: 0.19.
2677,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who can open a Roshan Digital Account?,"NRPs, OPF Members, Foreign Nationals having Pakistan Origin Card (POC), Pakistani Nationals having declared assets abroad, Govt. Employees & Officials posted abroad."
2678,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of PMYB & ALS?,Tier 2: Above Rs. 0.5M and up to Rs 1.5M. Tier 3: Above Rs 1.5 M and up to Rs 7.5M.
2679,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are initial/minimum balance requirements for PakWatan Remittance Account?,No initial deposit requirement. No minimum balance requirement.
2680,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing time?,The processing time of Mortgage Finance is 30 days from login till approval subject to complete application with required documents.
2681,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the PakWatan Remittance Account?,"PakWatan Remittance Account is a specialized account designed to facilitate the receipt of home remittances sent to Pakistan, providing easy and fast access to funds for remittance recipients."
2682,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Little Champs Account?,The Little Champs Account is a product designed specifically for minors (individuals below the age of 18 years). A child requires the help of a parental/legal guardian to open this account and avail its facilities.
2683,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment frequency in NUST Imarat Finance?,Monthly/Quarterly.
2684,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the security requirement for availing NUST Imarat Finance?,"i. Effective Mortgage (Equitable/or token registered) to be created on the same urban Commercial/Industrial property financed. ii. 03 post-dated cheques of the full loan amount plus markup. iii. Personal Guarantees from borrowers, all partners, and directors of the companies along with 'Personal Net Worth Statement'. iv. Fard-based property to be registered equivalent to the full loan amount."
2685,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any tax deductions on Home Remittances?,Home Remittance Service is free of taxes.
2686,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any charges/fee for NUST's Home Remittance Service?,NUST Home Remittance Service is free of charge.
2687,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who should I contact in case I need to lodge a complaint regarding Home Remittance?,"For any query/complaint regarding Home Remittance, you may contact our dedicated Remittance Service Centre at UAN# 021-111-000-787. You may also email your queries/complaints at remittance@NUSTbank.com.pk"
2688,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the maximum period of loan?,• For vehicles up to 1000 CC: up to 5 years. • For vehicles greater than 1000 CC: up to 3 years.
2689,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How many Jubilee Life Insurance Plans are available?,"• Jubilee Life Savings and Protection Plan - Lifetime Protection and Saving Plan
• Jubilee Life Education Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Marriage Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Retirement Plan - Saving & Protection"
2690,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of PMYB & ALS?,Tier 2: 5% per annum. Tier 3: 7% per annum.
2691,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business with your Bank. Please tell me what options I have?,NUST Value Plus Business Account is best suited for startups and businesses.
2692,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is NUST Bank offering any financing specifically for women owned small and medium enterprises?,The Product 'NUST Sahar Finance' is based on Refinance and Credit Guarantee Scheme for Women Entrepreneurs. The objective of this product is to provide financing facilities to women owned enterprises to meet credit needs of their businesses.
2693,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business with your Bank. Please tell me what options I have?,NUST Value Plus Business Account is best suited for startups and businesses.
2694,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of PMYB & ALS?,Tier 2: 5% per annum. Tier 3: 7% per annum.
2695,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for Short Notice Deposit Receipt (SNDR)?,Tenor: 7 Days. Payout: Maturity. Profit Rate: 0.165.
2696,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,"Tier 2: 10% (New Business). Tier 3: 20% (New Business). In case of existing business, equity is not required."
2697,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in NUST Flour Mill Finance?,At actual.
2698,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any charges/fee for NUST's Home Remittance Service?,NUST Home Remittance Service is free of charge.
2699,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment frequency in NUST Hunarmand Finance?,Repayment of AHF loans will be made in the form of monthly or quarterly installments (or as per SBP’s directives).
2700,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purposes PMYB & ALS is being offered?,• To start new business • To expand existing business
2701,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purposes NUST Hunarmand Finance is being offered?,• To start a new business • To expand an existing business.
2702,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,Tier 2: 10% (New Business). Tier 3: 20% (New Business). Existing Business: Nil.
2703,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who can apply for NUST Auto Finance?,• Salaried Individuals. • Specially Abled Persons/Visually Impaired Persons/Persons with Disabilities (PWD). • Self Employed Businessman/Woman (SEB). • Individuals having any other verifiable source of income. • Self Employed Professionals (SEP).
2704,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for PakWatan Remittance Account?,Profit Payment: Monthly. Profit Rate: 0.19.
2705,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the account type of NUST Sahar Account?,"NUST Sahar Deposit suite consists of following variants: 1- NUST Sahar Current Account, 2- NUST Sahar Savings Account, 3- NUST Sahar Term Deposits, 4- NUST Sahar Asaan Current Account."
2706,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
2707,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any condition related to bank account maintenance for availing NUST Imarat Finance?,Minimum 1 year bank account statement with NUST or Minimum 2 years bank statement with any other bank.
2708,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about profit payment and calculation?,Profit Payment Frequency: Monthly. Profit Calculation: Monthly Average Balance.
2709,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Flour Mill Finance?,Per party (single entity) can avail up to Rs. 75M for ME and Rs. 25M for SE.
2710,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Maximum age criteria for applying NUST Mortgage Finance?,"Salaried Permanent: 60 Years at the maturity of loan, Salaried Contractual: 65 Years at the Maturity of loan, Pensioners: 65 Years at the maturity of loan, SEB/SEP: 65 Years at the maturity of loan."
2711,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for NUST Special Deposit Account (ASDA)?,Profit Payment: Monthly/Semi-Annually. Profit Rate: 0.19.
2712,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail more than one vehicle through Auto loan facility?,"Yes. Two vehicles can be availed simultaneously from NUST Bank, subject to Debt Burden Limitations."
2713,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any business age requirement?,Existing Business: Minimum 3 years operating history of business.
2714,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What happens if I fail to fulfil your payment obligations?,"In case of overdue / default, recovery department of NUST will contact you, your loan related details will be reported to Credit Bureau. Late payment and cheque return charges may also be applicable as per prevailing schedule of charges. Legal proceeding may also be initiated by the Bank."
2715,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business with your Bank. Please tell me what options I have?,NUST Value Plus Business Account is best suited for startups and businesses.
2716,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of the Roshan Digital Account?,"Offered in PKR and USD/GBP/EUR. SMS Alerts on registered local and international numbers. Bill payments & funds transfer within Pakistan via local ATMs & internet banking. Investment in Naya Pakistan Certificates, Real Estate, NUST Term Deposits Receipts, and Stock Market. Note: Local deposits are not allowed in RDA."
2717,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What documents are required to open a Little Champs Account?,"• A photocopy of Form-B, Birth Certificate, or Student ID card (as appropriate) of the minor
• A photocopy of any one of the following valid identity documents of the guardian of the minor:
  1. Computerized National Identity Card (CNIC) issued by NADRA
  2. National Identity Card for Overseas Pakistani (NICOP) issued by NADRA
  3. Pakistan Origin Card (POC) issued by NADRA
  4. Alien Registration Card (ARC) issued by National Aliens Registration Authority (NARA), Ministry of Interior (local currency account only)
  5. Passport, with a valid visa, or any other proof of legal stay along with passport (foreign national individuals only)
  6. Source of income of guardian."
2718,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any Credit and Debit limits in NUST Freelancer Digital Account?,"The following Transaction limits apply:
Maximum Credit Balance Limit: USD 5,000 or equivalent
Monthly Debit Limit: USD 5,000 or equivalent
Cash Withdrawal Limit: PKR 500,000 or equivalent per day"
2719,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Any Account turnover requirement for NUST Rice Finance?,Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).
2720,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business purpose with your Bank. Please tell me what options I have?,"NUST Value Premium Business Account is best suited for medium to large enterprises, partnership firms, and corporate organizations."
2721,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is Property insurance coverage mandatory?,Yes. Property Insurance is mandatory; Insurance premium is borne by the borrower. It covers construction cost of financed house and value of property in case of apartment.
2722,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail more than one vehicle through Auto loan facility?,"Yes. Two vehicles can be availed simultaneously from NUST Bank, subject to Debt Burden Limitations."
2723,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can we open this account online?,"Yes, Digital account opening facility is available with account opening within 48 hours."
2724,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can the Freelance payment be made through PRI?,"Yes, Freelance payment is allowed under specific arrangements with tie-ups with allowed purposes as per SBP guidelines."
2725,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the nature of finance in NUST Sahar Finance?,i. Long Term Finance ii. Short Term Finance/Working Capital
2726,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",This product is available in two variants:,· NUST Maximiser Savings Account · NUST Maximiser Term Deposit
2727,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for Short Notice Deposit Receipt (SNDR)?,Tenor: 7 Days. Payout: Maturity. Profit Rate: 0.165.
2728,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the maximum age for applying NUST Mastercard Credit Card?,"Salaried (Permanent): 60 years, Salaried (Contractual)/ Pensioners/SEB/SEP: 65 years."
2729,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Any Account turnover requirement for NUST Flour Mill Finance?,Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).
2730,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free services offered with Current Deposit Account?,Free SMS alerts facility on Digital Transactions; Free E-statement & I-Net Banking; Free Inter Branch Online Cash Deposit/Withdrawal (Online); Free Internal Fund Transfer within NUST via branch (Online Transfer); Free Banker’s Cheque Issuance
2731,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I make balloon payments or premature termination of facility?,"Yes, Balloon payment or premature termination option is available for all customers. Charges will be applied as per prevailing Bank’s schedule of charges / As per corporate arrangement."
2732,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who can open Pak Wattan Remittance Account?,A Bonafide recipient of Home remittance (PRI) can open this account.
2733,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I track my remittance status online?,"Yes, you can view the status of your remittance online through NUST Remittance Tracker by following link https://NUSTbank.com/services/alternate-delivery-channels/home-remittance-tracking/"
2734,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any business loan product offered by NUST for families of armed forces and retired officers of the armed forces?,"NUST Hunarmand Finance is a sub-product of PMYB&ALS, structured with the objective to provide business opportunities to specific target markets. It is offered to: • Retired commissioned, junior commissioned, non-commissioned officers of the armed forces and their family members (spouse and children). • Spouse and children of serving commissioned, junior commissioned, and non-commissioned officers of armed forces."
2735,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any transaction limits in NUST Asaan Digital Remittance Account?,"Yes, the following transaction limits apply for NUST Asaan Digital Remittance Account: Maximum Credit Balance Limit is PKR 3,000,000, Cash Withdrawal Limit is PKR 500,000 per day, Fund Transfer Limit is PKR 500,000 per day, and Local Credit Limit is PKR 1,000,000 per day."
2736,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,"HNW Individuals (either singly or jointly), Proprietorship Concerns, Partnership Firms, Public and Private Limited Companies, Government Organizations, Corporations, Clubs, Societies, Associations, NGOs."
2737,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of Ask Fauri Business Finance?,Maximum Rs. 200 Mn (For all products).
2738,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,"HNW Individuals (either singly or jointly), Proprietorship Concerns, Partnership Firms, Public and Private Limited Companies, Government Organizations, Corporations, Clubs, Societies, Associations, NGOs."
2739,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any charges/fee for NUST's Home Remittance Service?,NUST Home Remittance Service is free of charge.
2740,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can remittance be sent from anywhere to Pakistan?,"Yes, remittance can be sent from around the globe to Pakistan through our agent partners like Western Union, Mastercard, Dandelion Payments (RIA), etc. For more information please go through the following link: https://NUSTbank.com/services-home-remittance-our-partners/"
2741,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of NUST Rice Finance?,"Cash Finance: 3 Months KIBOR + Up to 3.00% p.a, Running Finance: 3 Months KIBOR + Up to 3.50% p.a (reviewed/revised on quarterly basis)."
2742,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I purchase Bancassurance policy from my account maintained with NUST Bank?,"Yes, every customer who attains the age of 18 and has an account with NUST Bank is eligible to purchase Bancassurance policy from their account."
2743,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities associated with Roshan Digital Account?,Free First Issuance of Debit Card (annual charges as per prevailing SOC). Free I-Net banking. Free E-statements.
2744,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment mode?,"Payment of Equal Monthly Installment (EMI) comprising of principal, mark-up and Insurance cost etc. will be made through Direct Debit Authority (DDA) of borrower’s account maintained with NUST."
2745,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free services offered on NUST Sahar Asaan Current Account?,"Free Inter Branch Online Cash Deposit/Withdrawal (Online), Free Internal Fund Transfer within NUST via branch (Online Transfer), Free Banker’s Cheque Issuance, Free I-Net Banking, Free E-statement, Free SMS Alerts on digital transactions."
2746,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum business age requirement?,Existing Business Should be women owned enterprises with Minimum 01 year of business registration. New Business: Nil.
2747,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How much loan can I avail?,"Up to a maximum of Rs.3 Million from all banks/DFIs in aggregate, subject to a maximum of 40% Debt Burden requirement."
2748,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing Charges?,It will be as per prevailing Schedule of Charges (SOC) or As per corporate arrangement.
2749,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Any mandatory qualification/experience required?,"Specifically for New Business: i) Only Professionals (Chartered Accountants, Doctors, Engineers, IT Professionals, and Consultants) with minimum 2 years professional experience. ii) Retired professionals from armed forces and families of serving armed forces officers. No Professional Qualification Required for existing business."
2750,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Value Plus Business Account (VP-BA)?,Value Plus Business Account (VP-BA) is a business account offering a range of benefits and tailored solutions for businesses to manage their financial transactions efficiently.
2751,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is EFU Life Bancassurance Policy?,"EFU Life Bancassurance Policy is an insurance product provided through NUST Bank in collaboration with EFU Life Assurance Company, offering various life insurance solutions."
2752,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Flour Mill Finance?,Per party (single entity) can avail up to Rs. 75M for ME and Rs. 25M for SE.
2753,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",This product is available in two variants:,· NUST Maximiser Savings Account · NUST Maximiser Term Deposit
2754,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
2755,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business with your Bank. Please tell me what options I have?,NUST Value Plus Business Account is best suited for startups and businesses.
2756,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the target market for Current Deposit Account?,"Individuals (either singly or jointly); Proprietorship Concerns, Business Owners; Partnership Firms; Public and Private Limited Companies; Government Organizations; Corporations, Clubs, Societies, NGOs etc."
2757,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Current Deposit Account (CDA)?,"Current Deposit Account (CDA) is a type of account that offers businesses and individuals a way to manage daily transactions, including deposits, withdrawals, and transfers, with no restrictions on the number of transactions."
2758,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Imarat Finance Application?,"Rs. 30,000/- or 0.2% of loan amount, whichever is higher (Non-refundable)."
2759,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Application Processing Charges?,Processing Charges will be as per prevailing Bank’s Schedule of Charges (SOC).
2760,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank have a specialized remittance Account as per SBP guideline?,"Yes, NUST has a remittance account named Pak Wattan Remittance Account."
2761,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail more than one House loan?,Yes. One can avail two Mortgage Loans at a time from NUST Bank within Debt Burden Ratio (DBR) as per prevailing SBP PRs for Housing Finance.
2762,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What other benefits do I get from using a VPBA?,Speedy processing of Financing. Customized Salary Processing & Cash Management solutions (ACMS). ATM Cash Withdrawal Insurance.
2763,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How will I get update of my Credit Card Application?,You can visit/ call or send email at our Customer Services centre(s) as well. Services centre(s) as well. Email Address: CustomerServices@NUSTbank.com.pk.
2764,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail Loan Facility if there are defaults against my previous loan(s)?,No. Regular payment against previous loans is necessary.
2765,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Any Account turnover requirement for NUST Rice Finance?,Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).
2766,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the markup repayment frequency in Ask Fauri Business Finance?,"AFBF-1: Monthly / Quarterly, AFBF-2: Monthly / Quarterly, AFBF-3: Upfront, AFBF-4: Upfront."
2767,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market?,Individuals running a freelance service business.
2768,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in NUST Ujala Finance?,At actual.
2769,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
2770,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Profit rate on NAA Savings account?,Current profit rate is 20.50% which is paid Semi Annually.
2771,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Imarat Finance?,"AIF 1: Minimum Rs. 5.00M & Maximum Rs. 100M. AIF 2: Minimum Rs. 5.00M & Maximum Rs. 50M. AIF 3: Maximum Rs. 30M or up to 30% of FSV of offered property, whichever is lower. AIF 4: Maximum Rs. 5M or up to 25% of FSV of offered property, whichever is lower."
2772,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Any Account turnover requirement for NUST Flour Mill Finance?,Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).
2773,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is NUST Maximiser Account?,"NUST Maximiser Account is a deposit account that offers higher returns with the flexibility of easy access to funds, aiming to maximize savings for the account holder."
2774,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Imarat Finance?,"AIF 1: Minimum Rs. 5.00M & Maximum Rs. 100M. AIF 2: Minimum Rs. 5.00M & Maximum Rs. 50M. AIF 3: Maximum Rs. 30M or up to 30% of FSV of offered property, whichever is lower. AIF 4: Maximum Rs. 5M or up to 25% of FSV of offered property, whichever is lower."
2775,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In which area of the country one can avail Credit Card facility?,Credit Card can be availed from all cities / Areas without discrimination.
2776,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Other Important Information about EFU Insurance Plans,"- Only Education and Marriage Plans are Limited time plan with Continuation Benefits (in case of death payment will be made upon maturity)
- Single Premium Plan which can be terminated at any time, in case of death Cash Value or Sum Assured whichever is higher will be paid
- Annual / Half Yearly / Quarterly - Policy Premium Payment Modes Available as per customer convenience
- Aggressive Growth Plan is a high risk Plan depends on customer profile
- Death Claims will be handled by EFU subject to completion of required documents and eligible if policy status is Active, Inforced/Reinstated only"
2777,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Flour Mill Finance Application?,"Processing fee will be charged @ 0.15% of total limit(s) processed/approved or Rs. 25,000/- whichever is higher."
2778,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Hunarmand Finance?,Tier 2: Above Rs. 0.5M and up to Rs. 1.5M. Tier 3: Above Rs. 1.5M and up to Rs. 7.5M.
2779,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is your bank offering any Current Deposit account?,Current Deposit Account is specially designed for customers with regular banking transactional needs and do not need Profit.
2780,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How will I get update of my Credit Card Application?,You can visit/ call or send email at our Customer Services centre(s) as well. Services centre(s) as well. Email Address: CustomerServices@NUSTbank.com.pk.
2781,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In which area of the country one can avail Credit Card facility?,Credit Card can be availed from all cities / Areas without discrimination.
2782,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Account type of NUST Asaan Digital Account? is it Current or Saving?,NUST Asaan Digital account is a Current Account in PKR currency.
2783,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can overseas Pakistanis obtain House Finance facility from NUST?,"Yes. However, they can apply as Co-Borrower with verifiable income. Basic borrower from Pakistan should also meet the required basic criteria for MF."
2784,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free services offered on NUST Sahar Asaan Current Account?,"Free Inter Branch Online Cash Deposit/Withdrawal (Online), Free Internal Fund Transfer within NUST via branch (Online Transfer), Free Banker’s Cheque Issuance, Free I-Net Banking, Free E-statement, Free SMS Alerts on digital transactions."
2785,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the security requirement for availing PMYB & ALS?,"Tier 2: i. Clean; personal guarantee of the borrower. ii. 02 Post Dated cheques for installment amount. iii. 01 Post Dated cheque for full loan amount plus mark up as per amortization schedule. Tier 3: i. Mortgage of residential/commercial/industrial property owned by borrower or third party. ii. HPA on vehicle in the name of borrower or immediate family member. iii. Liquid security (lien on deposit, Saving certificates, TDRs etc.)."
