cid,topic,text
44,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 5. PHONG TỎA VÀ ĐÓNG TK 
1. Phong tỏa TK: 
b.  Ngay sau khi phong tỏa TK, Sacombank phải thông báo (bằng văn bản hoặc theo hình thức 
thông báo đã thỏa thuận tại hợp đồng mở và sử dụng TK giữa hai bên) cho chủ TK (hoặc 
người giám hộ, người đại diện hợp pháp của KH) biết về lý do và phạm vi phong tỏa TK, 
trừ trường hợp cơ quan có thẩm quyền có văn bản yêu cầu Sacombank không thông báo 
cho KH về việc phong tỏa TK. Số tiền bị phong tỏa trên TK phải được bảo toàn và kiểm 
soát chặt chẽ theo nội dung phong tỏa. Trường hợp TK bị phong tỏa một phần thì phần 
không bị phong tỏa vẫn được sử dụng bình thường. 
c.  Sacombank chấm dứt phong tỏa TK khi có một trong các điều kiện sau: 
(i) Kết thúc thời hạn phong tỏa theo yêu cầu của KH (chủ TK hoặc người giám hộ, người 
đại diện hợp pháp của KH) hoặc theo thỏa thuận giữa chủ TK với Sacombank. 
(ii)  Kết thúc thời hạn phong tỏa theo văn bản yêu cầu phong tỏa của cơ quan có thẩm 
quyền hoặc có văn bản yêu cầu của cơ quan có thẩm quyền về việc chấm dứt phong 
tỏa TK. 
(iii) Sacombank đã xử lý xong sai sót, nhầm lẫn trong thanh toán chuyển tiền. 
(iv) Khi có yêu cầu chấm dứt phong tỏa bằng văn bản của tất cả các chủ TK chung hoặc 
theo thỏa thuận trước bằng văn bản giữa Sacombank và các chủ TK chung. 
(v)  Khi Sacombank đã hoàn tất xác minh lại thông tin KH hoặc căn cứ để phong tỏa đã 
chấm dứt. 
(vi) Các trường hợp khác theo quy định của pháp luật. "
45,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 5. PHONG TỎA VÀ ĐÓNG TK 
2. Đóng TK: 
a.  Sacombank được quyền đóng TK trong các trường hợp sau: (i) khi có yêu cầu bằng văn 
bản của KH (Chủ TK/Các Chủ TK chung) hoặc theo yêu cầu của người giám hộ, người đại 
diện hợp pháp của KH và KH đã thực hiện đầy đủ các nghĩa vụ liên quan đến TK; (ii) Khi TK 
có số dư bằng 0 (hoặc không bảo đảm số dư tối thiểu theo quy định của Sacombank trong 
từng thời kỳ) và bị ngưng sử dụng ít nhất 06 tháng kể từ thời điểm TK có số dư bằng 0 
(hoặc thời gian khác theo Thông báo quy định của Sacombank trong từng thời kỳ); (iii) Khi 
KH (cá nhân) chết, bị tuyên bố là đã chết hoặc KH (tổ chức) chấm dứt hoạt động theo quy 
định pháp luật; (iv) Khi KH vi phạm các hành vi cấm về tài khoản thanh toán theo quy định 
pháp luật; (v) Khi phát hiện KH sử dụng giấy tờ giả, mạo danh để mở hoặc sử dụng TK cho 
mục đích lừa đảo, gian lận hoặc các hoạt động bất hợp pháp khác; (vi) Khi KH vi phạm cam 
kết, thỏa thuận tại Hợp đồng này hoặc thỏa thuận khác giữa KH và Sacombank; (vii) Các 
trường hợp khác theo thỏa thuận giữa KH và Sacombank và theo quy định của Sacombank 
phù hợp quy định pháp luật trong từng thời kỳ. 
b.  Trường hợp KH có yêu cầu đóng TK, KH đến các Điểm giao dịch của Sacombank, lập giấy 
yêu cầu đóng TK (theo mẫu Sacombank) và hoàn lại các tờ séc chưa sử dụng (nếu có). KH 
không được  yêu  cầu đóng TK khi TK đang bị  phong  tỏa  hoặc KH chưa hoàn thành các 
nghĩa vụ nợ với Sacombank. 
c.  Việc đóng TK của  KH  theo  tiết (ii) điểm  a  khoản  3  Điều  này  chỉ  được  thực  hiện  khi 
Sacombank đã thông báo cho KH biết trước ít nhất là 15 ngày kể từ ngày thông báo. 
d. Khi đóng TK, Sacombank sẽ đồng thời chấm dứt các dịch vụ kết nối với TK đó. KH thanh 
toán phí đóng TK và các phí liên quan theo quy định trong biểu phí của Sacombank được 
công bố trong từng thời kỳ."
46,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 5. PHONG TỎA VÀ ĐÓNG TK 
2. Đóng TK: 
e.  Sau khi đóng TK, Sacombank phải thông báo cho KH, người đại diện hợp pháp, người giám 
hộ hoặc người thừa kế hợp pháp biết trong trường hợp chủ TK là cá nhân bị chết, bị tuyên 
bố là đã chết hoặc mất tích. 
f. Xử lý số dư còn lại sau khi đóng TK: 
(i) Chi trả theo yêu cầu của chủ TK; người giám hộ, người đại diện theo pháp luật của KH 
trong trường hợp chủ TK là người chưa đủ 15 tuổi, người hạn chế năng lực hành vi dân 
sự, người mất năng lực hành vi dân sự, người khó khăn trong nhận thức, làm chủ hành 
vi hoặc người được thừa kế, đại diện thừa kế trong trường hợp chủ TK là cá nhân bị 
chết, bị tuyên bố là đã chết. 
(ii)  Chi trả theo yêu cầu của các chủ sở hữu của KH trường hợp KH là tổ chức có TK chấm 
dứt hoạt động theo quy định của pháp luật. 
(iii) Chi trả theo quyết định của tòa án hoặc hoặc theo quyết định của cơ quan có thẩm 
quyền. 
(iv) Sacombank  xử  lý theo quy định  của  pháp  luật đối  với trường hợp người  thụ  hưởng 
hợp pháp số dư trên TK đã được thông báo mà không đến nhận hoặc theo thỏa thuận 
trước bằng văn bản với KH, phù hợp với quy định của pháp luật hiện hành. 
g. Sau khi đóng TK, KH muốn  sử  dụng  TK  phải  làm  thủ  tục  mở  TK theo quy định  của 
Sacombank."
47,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 6. ỦY QUYỀN SỬ DỤNG TK
1. KH, Kế toán trưởng hoặc người phụ trách kế toán (nếu có) của KH được ủy quyền cho người 
khác sử dụng TK của mình phù hợp với pháp luật về ủy quyền. Từng chủ TK chung có thể ủy 
quyền cho người khác thay mặt mình sử dụng TK chung nhưng phải được sự đồng ý bằng 
văn bản của tất cả các chủ TK chung còn lại. 
2. Việc ủy quyền trong sử dụng TK phải thực hiện bằng văn bản và thực hiện theo quy định, thủ 
tục, hướng dẫn của Sacombank. Văn bản ủy quyền của KH cá nhân được lập tại Sacombank 
hoặc được lập tại cơ quan có thẩm quyền công chứng, chứng thực theo quy định của pháp 
luật về ủy quyền. Văn bản ủy quyền của KH tổ chức có thể lập theo mẫu của Sacombank hoặc 
có nội dung tối thiểu theo quy định của Sacombank. Quyền hạn và nghĩa vụ của người được 
ủy quyền được quy định theo văn bản ủy quyền của KH. Trường hợp Văn bản ủy quyền được 
công chứng, chứng thực theo quy định của pháp luật, KH đồng ý rằng việc xuất trình và gửi 
văn bản ủy quyền kèm các tài liệu, thông tin, dữ liệu để xác minh thông tin nhân biết người 
được ủy quyền có thể thực hiện bởi KH hoặc chính Người được ủy quyền.  
3. KH, Kế toán trưởng hoặc người phụ trách kế toán (nếu có) của KH muốn hủy hay thay đổi 
người được ủy quyền thì phải thực hiện thủ tục theo hướng dẫn của Sacombank. "
48,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 7. THU THẬP, SỬ DỤNG VÀ BẢO MẬT THÔNG TIN KHÁCH HÀNG
1. KH đồng  ý  cho  Sacombank  thu  thập  thông  tin  của  KH  từ  nguồn  KH  cung  cấp  và/hoặc  do 
Sacombank tổng hợp từ quá trình KH sử dụng dịch vụ trên các kênh giao dịch với Sacombank 
và/hoặc từ các đối tác của Sacombank để triển khai sản phẩm, dịch vụ cho KH và/hoặc các 
nguồn  thông  tin  công  khai,  hợp  pháp  khác của KH theo quy định  của  pháp  luật  bao  gồm 
nhưng không hạn chế các thông tin sau:  
a.  Thông tin về KH cá nhân và người liên quan đến KH cá nhân như họ tên, ngày tháng năm 
sinh, nơi sinh, quốc tịch, nghề nghiệp, chức vụ, số điện thoại, số giấy tờ tùy thân, ngày cấp, 
nơi cấp, địa chỉ đăng ký thường trú và nơi ở hiện tại, tên cơ quan, địa chỉ cơ quan, giới 
tính,... 
b. Thông tin về KH tổ chức (tên giao dịch đầy đủ và viết tắt; địa chỉ đặt trụ sở chính; số điện 
thoại, số fax; lĩnh vực hoạt động, kinh doanh...) và thông tin cá nhân về người thành lập, 
đại diện hoặc người liên quan của tổ chức (họ tên, ngày tháng năm sinh, nơi sinh, quốc 
tịch, nghề nghiệp, chức vụ, số điện thoại, số giấy tờ tùy thân, ngày cấp, nơi cấp, địa chỉ 
đăng ký thường trú và nơi ở hiện tại, tên cơ quan, địa chỉ cơ quan, giới tính,...). 
c.  Thông tin về TK/số dư TK của KH, giao dịch của KH, việc KH sử dụng các sản phẩm và dịch 
vụ của Sacombank."
49,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 7. THU THẬP, SỬ DỤNG VÀ BẢO MẬT THÔNG TIN KHÁCH HÀNG
2. KH đồng ý Sacombank được phép sử dụng thông tin KH cho các mục đích sau: 
a.  Nhận biết, xác minh thông tin nhận biết KH.  
b. Quản  trị,  vận  hành,  hỗ  trợ  và  quản  lý  mối  quan  hệ,  giao  dịch  và/hoặc  TK  của  KH  với 
Sacombank bao gồm đánh giá điều kiện KH tham gia sản phẩm, dịch vụ; thực thi các yêu 
cầu  của  KH;  cung  cấp  sản  phẩm,  dịch  vụ  cho  KH;  thực  hiện  các  quyền và nghĩa vụ  của 
Sacombank theo quy định tại (các) Hợp đồng đã ký kết với KH; sử dụng làm bằng chứng 
trong quá trình giải quyết tranh chấp, khiếu nại, tra soát giữa Sacombank, KH và các bên 
liên quan... 
c.  Liên lạc với KH để giới thiệu, đề xuất hoặc tư vấn cho KH những thông tin về sản phẩm, 
dịch vụ mà KH có thể quan tâm hoặc mang lại ưu đãi, lợi ích tài chính cho KH; chương trình 
khuyến mại, thực hiện khảo sát và chương trình hoạt động khác của Sacombank. 
d. Hỗ trợ cho các hoạt động kinh doanh và nội bộ của Sacombank, bao gồm việc đánh giá, 
quản lý rủi ro và tuân thủ quy định của Sacombank và của pháp luật; quy hoạch và phát 
triển hệ thống hoặc phát triển sản phẩm ngân hàng, thực hiện các nghĩa vụ về báo cáo, tài 
chính, kế toán và thuế hoặc hoạt động có mục đích kiểm toán, lưu trữ và điều hành, để 
ngăn chặn, phát hiện, xử lý các trường hợp gian lận, giả mạo, rửa tiền, tài trợ khủng bố, tài 
trợ phổ biến vũ khí hủy diệt hàng loạt, giao dịch bất hợp pháp hoặc nghi ngờ là bất hợp 
pháp... 
e.  Các mục đích khác theo quy định của pháp luật."
50,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 7. THU THẬP, SỬ DỤNG VÀ BẢO MẬT THÔNG TIN KHÁCH HÀNG
3. KH đồng ý tự chịu trách nhiệm bảo mật đối với các thông tin mà KH cung cấp cho Sacombank; 
đồng thời tự chịu trách nhiệm trong trường hợp các thông tin liên quan đến KH, TK và giao 
dịch trên TK của KH đã, đang và sẽ sử dụng tại Sacombank bị lộ vì bất kỳ lý do gì thông qua 
bất cứ phương thức nào mà không do lỗi của Sacombank. 
4. Sacombank có nghĩa vụ đảm bảo bí mật các thông tin liên quan đến KH, TK và giao dịch trên 
TK của KH theo quy định của pháp luật và thỏa thuận với KH.  
"
51,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 7. THU THẬP, SỬ DỤNG VÀ BẢO MẬT THÔNG TIN KHÁCH HÀNG
5. Nhằm thực hiện các mục đích nêu tại Khoản 2 Điều này, KH đồng ý rằng Sacombank có thể 
cung cấp thông tin của KH cho cá nhân, tổ chức sau đây: 
a.  KH và/hoặc Người giám hộ/Người đại diện của KH, Người thừa kế (hoặc Người đại diện 
cho Người thừa kế) của KH trong trường hợp KH chết hoặc tuyên bố đã chết và/hoặc bên 
thứ ba được KH đồng ý ủy quyền/chấp thuận cung cấp thông tin. Yêu cầu cung cấp thông 
tin phải lập thành văn bản gửi đến Sacombank. 
b. Cơ quan nhà nước có thẩm quyền theo quy định của pháp luật. 
c.  Bên thứ ba khác bao gồm: (i) kế toán viên, kiểm toán viên nội bộ hoặc kiểm toán viên bên 
ngoài, các cố vấn chuyên môn của Sacombank, luật sư, tư vấn tài chính, công chứng viên, 
cơ quan xếp hạng; hoặc (iii) Nhân viên của Sacombank và/hoặc các đại lý hoặc nhà thầu 
phụ, nhà cung cấp dịch vụ, nhà tư vấn, các tổ chức tham gia xử lý giao dịch cho KH bất kể 
đó là tổ chức được thành lập và hoạt động tại Việt Nam hay không; và/hoặc các bên thứ 
ba khác đã ký hợp đồng hợp tác với Sacombank. Bên thứ ba phải có cam kết chịu ràng 
buộc tuân thủ các quy định bảo mật tương tự nội dung tại Điều này. 
d. Trong phạm vi các giao dịch do KH thiết lập, Sacombank được cung cấp thông tin họ tên 
của KH cho người thụ hưởng của giao dịch nếu người thụ hưởng yêu cầu nhằm phục vụ 
cho công tác tra soát, đối chiếu số liệu của người thụ hưởng. 
Khi cung cấp thông tin tại khoản này, Sacombank đảm bảo các thông tin được cung cấp phải 
chính xác với thông tin mà KH được lưu trữ tại Sacombank trong quá trình đăng ký và/hoặc 
sử dụng TK, thực hiện giao dịch và trong phạm vi cần thiết để thực hiện các mục đích nêu tại 
khoản 2 Điều này. "
52,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 7. THU THẬP, SỬ DỤNG VÀ BẢO MẬT THÔNG TIN KHÁCH HÀNG
6. Việc lưu trữ thông tin được thực hiện trong khoảng thời gian cần thiết để hoàn thành các mục 
đích theo quy định tại Khoản 2 Điều này, các hợp đồng, thỏa thuận, văn bản khác với Chủ TK, 
trừ trường hợp được hoặc phải lưu trữ lâu hơn theo quy định pháp luật trong từng thời kỳ. 
7. Đối với thông tin KH là Dữ Liệu Cá Nhân theo quy định tại Nghị định 13/2023/NĐ-CP và các 
văn bản pháp luật sửa đổi, bổ sung, thay thế trong từng thời kỳ, KH đồng ý toàn bộ (không 
kèm theo điều kiện) rằng Sacombank được thu thập, xử lý Dữ Liệu Cá Nhân theo Điều Khoản 
Chung Về Bảo Vệ Và Xử Lý Dữ Liệu Cá Nhân (“Điều Khoản Chung”) được niêm yết tại quầy, 
website https://www.sacombank.com.vn. Trường  hợp  muốn  hạn  chế  xử  lý  dữ  liệu  tại Điều 
Khoản Chung này, KH chủ động liên hệ Sacombank để được hướng dẫn. Điều Khoản Chung 
là một phần không tách rời Hợp đồng này. Tất cả các quyền và nghĩa vụ của Sacombank và 
KH tại Điều Khoản Chung sẽ không thay thế, chấm dứt hoặc thay đổi, mà sẽ là cộng dồn vào 
các quyền và nghĩa vụ mà Sacombank và KH đang có tại Hợp đồng này."
53,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 8. TRA SOÁT, KHIẾU NẠI 
1. Phương thức tiếp nhận tra soát, khiếu nại: 
KH được quyền đề nghị Sacombank thực hiện tra soát, khiếu nại trong vòng 60 ngày kể từ 
ngày phát sinh giao dịch đề nghị tra soát, khiếu nại. Trường hợp KH cần tra soát, khiếu nại 
liên quan đến TK của mình, KH có thể sử dụng 3 phương thức sau: 
a. Đến bất kỳ Điểm giao dịch nào của Sacombank. 
b.  Liên hệ theo số điện thoại: 1800 5858 88 (có ghi âm) hoặc số điện thoại khác được thông 
báo công khai trên Website của Sacombank trong từng thời kỳ. 
c. Email đến địa chỉ: ask@sacombank.com.vn. 
Sau khi tiếp nhận nhu cầu của KH, Sacombank hướng dẫn KH hoàn tất hồ sơ, thủ tục khiếu 
nại theo quy định Sacombank phù hợp với quy định pháp luật. 

"
54,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 8. TRA SOÁT, KHIẾU NẠI
2. Thời hạn xử lý tra soát, khiếu nại: 
a. Sacombank thông báo cho KH về việc tiếp nhận, phản ánh, yêu cầu, khiếu nại của KH trong 
thời gian 3 ngày làm việc kể từ ngày nhận được phản ánh, yêu cầu khiếu nại đó.  
b. Trong thời hạn tối đa 30 ngày làm việc kể từ ngày KH hoàn tất hồ sơ tra soát, khiếu nại lần 
đầu của KH, Sacombank có trách nhiệm xử lý đề nghị tra soát, khiếu nại của KH. 
c.  Trong thời hạn tối đa 05 ngày làm việc kể từ ngày thông báo kết quả tra soát, khiếu nại 
cho KH, Sacombank thực hiện bồi hoàn tổn thất cho KH theo thỏa thuận và quy định của 
pháp luật hiện hành đối với những tổn thất phát sinh không do lỗi của KH và/hoặc không 
thuộc các trường hợp bất khả kháng được quy định tại Điều 10 Hợp đồng này. 
d. Trong trường hợp hết thời hạn xử lý tra soát, khiếu nại được quy định tại điểm a khoản 
này mà vẫn chưa xác định được nguyên nhân hay lỗi thuộc bên nào thì trong vòng 15 ngày 
làm việc tiếp theo, Sacombank và KH sẽ thỏa thuận về phương án xử lý tra soát, khiếu nại.
"
55,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 8. TRA SOÁT, KHIẾU NẠI
3. Trường hợp vụ việc có dấu hiệu tội phạm, Sacombank thông báo cho cơ quan nhà nước có 
thẩm quyền theo quy định của pháp luật về tố tụng hình sự và báo cáo Ngân hàng Nhà nước 
(Vụ Thanh toán, Cơ quan Thanh tra, giám sát ngân hàng, Ngân hàng Nhà nước tỉnh, thành 
phố trên địa bàn); đồng thời, thông báo bằng văn bản cho KH về tình trạng xử lý đề nghị tra 
soát, khiếu nại. Việc xử lý kết quả tra soát, khiếu nại thuộc trách nhiệm giải quyết của cơ quan 
nhà nước có thẩm quyền. Trong trường hợp cơ quan nhà nước có thẩm quyền thông báo kết 
quả giải quyết không có yếu tố tội phạm, trong vòng 15 ngày làm việc kể từ ngày có kết luận 
của cơ quan nhà nước có thẩm quyền, Sacombank và KH sẽ thỏa thuận về phương án xử lý 
kết quả tra soát, khiếu nại. 
4. Trường  hợp  Sacombank,  KH  và  các  bên  liên  quan  không  thỏa  thuận được  và/hoặc  không 
đồng ý với quá trình đề nghị tra soát, khiếu nại thì việc giải quyết tranh chấp được thực hiện 
theo quy định của pháp luật."
56,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 9. THÔNG BÁO 
1. Trừ trường hợp có thỏa thuận khác, Sacombank sẽ thông báo cho KH các vấn đề liên quan 
tới TK cũng như sửa đổi, bổ sung, các điều chỉnh về quy định của Sacombank bằng một trong 
các phương thức liên hệ sau: gửi văn bản thông báo tới địa chỉ của KH, gọi điện thoại, gửi tin 
nhắn SMS tới số điện thoại của KH, gửi email tới KH, thông báo trên ứng dụng mà KH có đăng 
ký sử dụng, thông báo trên Website của Sacombank hoặc các phương thức phù hợp khác. 
Các Bên thống nhất đồng ý rằng địa chỉ, số điện thoại và email của KH nhận thông báo là địa 
chỉ, số điện thoại và email mà KH đăng ký trong Giấy đăng ký thông tin KH hoặc các dữ liệu 
điện tử về đăng ký thông tin KH. 
2. Tất cả các thông báo, tài liệu giao dịch mà Sacombank và/hoặc cơ quan nhà nước trong quá 
trình thực hiện, giải quyết tranh chấp Hợp đồng này được các Bên gửi theo địa chỉ nêu trong 
Hợp đồng này (bao gồm địa chỉ thường trú, nơi ở hiện tại của KH cá nhân, địa chỉ trụ sở chính, 
địa chỉ giao dịch của KH tổ chức hoặc địa chỉ của Người đại diện hợp pháp của KH) hoặc theo 
địa chỉ khác được thỏa thuận bằng văn bản giữa các Bên. 
3. KH cam kết thông tin địa chỉ nêu tại Hợp đồng này là nơi cư trú/địa điểm kinh doanh hợp 
pháp của KH. Đây là địa chỉ Sacombank gửi tất cả các văn bản, tài liệu giao dịch trong quá 
trình thực hiện Hợp đồng và cơ quan nhà nước có thẩm quyền gửi thư mời, thông báo, tống 
đạt, niêm yết công khai nhằm yêu cầu KH thực hiện nghĩa vụ theo Hợp đồng này. KH phải 
thông báo cho Sacombank, cơ quan địa phương về sự thay đổi địa chỉ hoặc nơi cư trú/địa 
điểm kinh doanh mới.  
"
57,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 9. THÔNG BÁO 
4. Trường hợp KH vi phạm nghĩa vụ thông báo về sự thay đổi địa chỉ theo quy định tại Hợp đồng 
này bao gồm đã gạch tên khỏi hộ khẩu/ngừng kinh doanh tại địa chỉ cung cấp cho Sacombank 
và/hoặc xuất cảnh mà không thông báo địa chỉ, nơi cư trú mới, KH được xem là cố tình giấu 
địa chỉ nhằm trốn tránh thực hiện nghĩa vụ theo Hợp đồng này. Trong trường hợp này, địa 
chỉ nêu tại Hợp đồng này (hoặc địa chỉ nêu tại văn bản thông báo mà Sacombank nhận được 
sau cùng) là nơi cư trú cuối cùng của KH. KH chấp nhận việc Sacombank xử lý tài sản vắng 
mặt/Toà án xét xử vụ án vắng mặt, kể cả trường hợp không lấy được lời khai của KH. 
5. Mọi thông báo, tài liệu giao dịch được coi là đã nhận sau khi được gửi đi đến đúng địa chỉ 
email, nhắn tin đúng số điện thoại, gửi bưu điện có xác nhận của bưu điện nơi gửi, nếu gửi 
trực tiếp được coi là đã nhận sau khi có xác nhận của nhân sự các Bên, người thân (cùng nơi 
cư trú) hoặc nhân viên của KH, thời điểm Sacombank công bố trên Website của Sacombank."
58,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 10. BẤT KHẢ KHÁNG 
1.  Sự  kiện bất  khả kháng  là  sự  kiện  xảy  ra  một  cách  khách  quan  mà  các  bên  không  thể  lường 
trước, không thể khắc phục được và nằm ngoài khả năng của các bên mặc dù đã áp dụng mọi 
biện pháp cần thiết, bao gồm nhưng không giới hạn các trường hợp dưới đây: 
- Thiên tai, thảm họa tự nhiên, hỏa hoạn, dịch bệnh, chiến tranh, khủng bố, bạo loạn, biểu 
tình, đình công, bãi công, và các hạn chế của Chính phủ, can thiệp của cơ quan nhà nước 
có thẩm quyền, sự thay đổi các chính sách theo quy định của pháp luật  
- Quyết định,  yêu  cầu  của cơ quan nhà nước có  thẩm  quyền,  các  tổ  chức  quốc  tế  có  liên 
quan đến các hoạt động phòng, chống rửa tiền, chống tài trợ khủng bố, chống tài trợ phổ 
biến vũ khí hủy diệt hàng loạt, tuân thủ cấm vận/trừng phạt, phòng chống gian lận, ... 
- Bất kỳ trung tâm xử lý thanh toán hoặc thị trường nào gặp sự cố, tạm ngừng giao dịch. 
- Sự cố đường truyền, điện, mạng, thiết bị, vi rút, các lỗi kỹ thuật, sự gián đoạn trong việc 
cung cấp dịch vụ từ các nhà cung cấp dịch vụ cho Sacombank,.... xảy ra bất ngờ, nằm ngoài 
khả năng kiểm soát của Sacombank. 
2.  Khi xảy ra sự kiện bất khả kháng, các bên sẽ tạm ngưng thực hiện Hợp đồng và Sacombank sẽ 
thông báo cho Chủ TK biết. Việc tạm ngưng này không được xem là vi phạm của Sacombank 
và sẽ không phát sinh trách nhiệm bồi thường của Sacombank đối với Chủ TK hoặc Bên thứ 
ba. Sau khi chấm dứt sự kiện bất khả kháng, các bên sẽ tiếp tục thực hiện các nội dung tại Hợp 
đồng
"
59,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 11. ĐIỀU KHOẢN KHÁC 
1. Điều khoản và điều kiện này được điều chỉnh bởi Pháp luật Việt Nam. 
2. Sacombank có quyền sửa đổi, bổ sung những quy định trong bản điều khoản và điều kiện 
này tại từng thời điểm để đáp ứng yêu cầu của quy định pháp luật cũng như đảm bảo quyền 
lợi của KH và Sacombank. Trước khi bản thay đổi có hiệu lực Sacombank phải thông báo cho 
KH trước chậm nhất 01 ngày bằng một trong các hình thức: 
a. Nhắn tin đến số điện thoại di động đã đăng ký; hoặc 
b. Gửi thư (hoặc thư điện tử) trực tiếp đến địa chỉ KH cung cấp cho Sacombank; hoặc  
c. Công  bố  trên  Website  của Sacombank, thông báo trên các phương tiện thông tin đại 
chúng hoặc niêm yết tại các Điểm giao dịch của Sacombank hoặc phương thức phù hợp 
khác.  
Các sửa đổi, bổ sung này mặc nhiên có giá trị hiệu lực với KH nếu KH tiếp tục sử dụng dịch 
vụ sau khi sự sửa đổi, bổ sung có hiệu lực. Trường hợp không đồng ý với việc  sửa đổi, bổ 
sung này, KH có quyền yêu cầu đóng tài khoản theo quy định tại điểm a khoản 2 Điều 5 của 
Hợp đồng này. 
3. Nếu có bất kỳ tranh chấp nào có phát sinh liên quan đến việc mở, sử dụng và quản lý TK thì 
KH và Sacombank trước hết sẽ cùng nhau giải quyết thông qua thương lượng, hòa giải. Trong 
trường hợp thương lượng, hòa giải không thành, các bên có quyền đưa vụ tranh chấp đó ra 
tòa án có thẩm quyền ở Việt Nam để giải quyết. 
4. Hợp đồng mở và sử dụng TK có hiệu lực kể từ ngày KH và Sacombank ký vào văn bản đề nghị 
mở TK của KH (TK mở tại quầy) hoặc KH xác nhận đồng ý đăng ký mở TK bằng phương tiện 
điện tử và nhận được thông báo của Sacombank về việc mở TK thành công (TK trực tuyến). 
5. Hợp đồng mở và sử dụng TK trực tuyến được lập và lưu trữ dưới dạng dữ liệu điện tử và tùy 
theo yêu cầu của KH và khả năng đáp ứng của Sacombank, KH có thể nhận 01 bản Hợp đồng 
thông qua một trong các phương thức sau: (i) Bản Hợp đồng dưới dạng dữ liệu điện tử được 
gửi thông qua email mà KH đăng ký với Sacombank hoặc KH tải Hợp đồng thông qua website 
https://khachhangthanthiet.sacombank.com  (ii)  Bản  Hợp đồng  giấy được  chuyển đổi  từ  dữ 
liệu điện tử được gửi trực tiếp cho KH khi KH yêu cầu tại quầy (iii) Hoặc các phương thức tra 
cứu khác do Sacombank triển khai trong từng thời kỳ

"
